order_name,family_name,is_areal,avibase_id,ebird_species_code,birds_of_the_world_url,common_name,scientific_name,soi_number_loggers_approx_raw,body_mass_g,tagged_previously
Passeriformes,Peucedramidae,False,AVIBASE-9D945327,oliwar,https://birdsoftheworld.org/bow/species/oliwar/,Olive Warbler,Peucedramus taeniatus,,11.0,
Passeriformes,Pachycephalidae,False,AVIBASE-AB08B1DE,oliwhi1,https://birdsoftheworld.org/bow/species/oliwhi1/,Olive Whistler,Pachycephala olivacea,,41.2,
Passeriformes,Fringillidae,False,AVIBASE-C3FD23AB,olbeup1,https://birdsoftheworld.org/bow/species/olbeup1/,Olive-backed Euphonia,Euphonia gouldi,,14.0,
Passeriformes,Dicaeidae,False,AVIBASE-27665659,olbflo1,https://birdsoftheworld.org/bow/species/olbflo1/,Olive-backed Flowerpecker,Pachyglossa olivacea,,9.4,
Passeriformes,Furnariidae,False,AVIBASE-70B85047,obfgle3,https://birdsoftheworld.org/bow/species/obfgle3/,Olive-backed Foliage-gleaner,Automolus infuscatus,,32.9,
Passeriformes,Muscicapidae,False,AVIBASE-E3760281,forrob6,https://birdsoftheworld.org/bow/species/forrob6/,Olive-backed Forest Robin,Stiphrornis pyrrholaemus,,,
Passeriformes,Oriolidae,False,AVIBASE-068516BB,olbori1,https://birdsoftheworld.org/bow/species/olbori1/,Olive-backed Oriole,Oriolus sagittatus,,95.2,
Passeriformes,Motacillidae,False,AVIBASE-25F7AF65,olbpip,https://birdsoftheworld.org/bow/species/olbpip/,Olive-backed Pipit,Anthus hodgsoni,,21.3,
Passeriformes,Cisticolidae,False,AVIBASE-57FE408F,olbtai1,https://birdsoftheworld.org/bow/species/olbtai1/,Olive-backed Tailorbird,Orthotomus sepium,,8.4,
Passeriformes,Mitrospingidae,False,AVIBASE-C9AA6FC9,olbtan1,https://birdsoftheworld.org/bow/species/olbtan1/,Olive-backed Tanager,Mitrospingus oleagineus,,41.3,
Passeriformes,Furnariidae,False,AVIBASE-79447EBB,olbwoo1,https://birdsoftheworld.org/bow/species/olbwoo1/,Olive-backed Woodcreeper,Xiphorhynchus triangularis,,46.3,
Passeriformes,Nectariniidae,False,AVIBASE-D2B15B3F,olbsun3,https://birdsoftheworld.org/bow/species/olbsun3/,Olive-bellied Sunbird,Cinnyris chloropygius,,6.2,
Passeriformes,Dicaeidae,False,AVIBASE-BCD2017C,olcflo1,https://birdsoftheworld.org/bow/species/olcflo1/,Olive-capped Flowerpecker,Dicaeum nigrilore,,11.0,
Passeriformes,Parulidae,False,AVIBASE-45C2A0F6,olcwar1,https://birdsoftheworld.org/bow/species/olcwar1/,Olive-capped Warbler,Setophaga pityophila,,8.0,
Passeriformes,Tyrannidae,False,AVIBASE-512BC132,olcfly1,https://birdsoftheworld.org/bow/species/olcfly1/,Olive-chested Flycatcher,Myiophobus cryptoxanthus,,9.8,
Passeriformes,Zosteropidae,False,AVIBASE-78540AAF,yapwhe1,https://birdsoftheworld.org/bow/species/yapwhe1/,Olive-colored White-eye,Zosterops oleagineus,,10.6,
Passeriformes,Melanopareiidae,False,AVIBASE-B75A42C7,olccre1,https://birdsoftheworld.org/bow/species/olccre1/,Olive-crowned Crescentchest,Melanopareia maximiliani,,18.0,
Passeriformes,Dicaeidae,False,AVIBASE-00242897,olcflo2,https://birdsoftheworld.org/bow/species/olcflo2/,Olive-crowned Flowerpecker,Dicaeum pectorale,,7.6,
Passeriformes,Parulidae,False,AVIBASE-D7815419,olcyel1,https://birdsoftheworld.org/bow/species/olcyel1/,Olive-crowned Yellowthroat,Geothlypis semiflava,,17.2,
Passeriformes,Tyrannidae,False,AVIBASE-737A9431,yebfly4,https://birdsoftheworld.org/bow/species/yebfly4/,Olive-faced Flatbill,Tolmomyias viridiceps,,,
Passeriformes,Muscicapidae,False,AVIBASE-CB6410F3,ofrcha1,https://birdsoftheworld.org/bow/species/ofrcha1/,Olive-flanked Ground Robin,Dessonornis anomalus,,24.5,
Passeriformes,Cisticolidae,False,AVIBASE-65393B92,olgcam1,https://birdsoftheworld.org/bow/species/olgcam1/,Olive-green Camaroptera,Camaroptera chloronota,,11.4,
Passeriformes,Mitrospingidae,False,AVIBASE-C016E9A0,olgtan1,https://birdsoftheworld.org/bow/species/olgtan1/,Olive-green Tanager,Orthogonys chloricterus,,39.0,
Passeriformes,Tyrannidae,False,AVIBASE-D7F10E84,olgtyr1,https://birdsoftheworld.org/bow/species/olgtyr1/,Olive-green Tyrannulet,Phylloscartes virescens,,8.5,
Passeriformes,Thraupidae,False,AVIBASE-BBCAE2A7,grasal4,https://birdsoftheworld.org/bow/species/grasal4/,Olive-grey Saltator,Saltator olivascens,,54.9,
Passeriformes,Pycnonotidae,False,AVIBASE-9A80B57C,,https://birdsoftheworld.org/bow/species/stfgre1/,Olive-headed Greenbul,Arizelocichla striifacies,,,
Passeriformes,Ploceidae,False,AVIBASE-6B5D78CE,olhwea1,https://birdsoftheworld.org/bow/species/olhwea1/,Olive-headed Weaver,Ploceus olivaceiceps,,20.8,
Passeriformes,Ploceidae,False,AVIBASE-2D3998EE,bknwea1,https://birdsoftheworld.org/bow/species/bknwea1/,Olive-naped Weaver,Ploceus brachypterus,,,
Passeriformes,Tyrannidae,False,AVIBASE-951C150C,olsfly,https://birdsoftheworld.org/bow/species/olsfly/,Olive-sided Flycatcher,Contopus cooperi,,32.1,
Passeriformes,Tyrannidae,False,AVIBASE-F083DCE5,y01249,,Olive-striped Flycatcher,Mionectes olivaceus,,15.3,
Passeriformes,Acrocephalidae,False,AVIBASE-791DED18,oltwar1,https://birdsoftheworld.org/bow/species/oltwar1/,Olive-tree Warbler,Hippolais olivetorum,,17.5,
Passeriformes,Pycnonotidae,False,AVIBASE-09CBDAE2,olwbul1,https://birdsoftheworld.org/bow/species/olwbul1/,Olive-winged Bulbul,Pycnonotus plumosus,,34.9,
Passeriformes,Turdidae,False,AVIBASE-C52EFB11,olomao,https://birdsoftheworld.org/bow/species/olomao/,Olomao,Myadestes lanaiensis,,50.0,
Passeriformes,Furnariidae,False,AVIBASE-73C73E03,olrcin1,https://birdsoftheworld.org/bow/species/olrcin1/,Olrog's Cinclodes,Cinclodes olrogi,,28.0,
Passeriformes,Turdidae,False,AVIBASE-A1C41A3F,omao,https://birdsoftheworld.org/bow/species/omao/,Omao,Myadestes obscurus,,50.4,
Passeriformes,Tityridae,False,AVIBASE-5B66BF7C,oncbec1,https://birdsoftheworld.org/bow/species/oncbec1/,One-colored Becard,Pachyramphus homochrous,,37.3,
Passeriformes,Pipridae,False,AVIBASE-5852C9A8,opcman1,https://birdsoftheworld.org/bow/species/opcman1/,Opal-crowned Manakin,Lepidothrix iris,,8.0,
Passeriformes,Thraupidae,False,AVIBASE-3B1E365F,opctan1,https://birdsoftheworld.org/bow/species/opctan1/,Opal-crowned Tanager,Tangara callophrys,,22.9,
Passeriformes,Thraupidae,False,AVIBASE-ECDD97C9,oprtan1,https://birdsoftheworld.org/bow/species/oprtan1/,Opal-rumped Tanager,Tangara velia,,21.0,
Passeriformes,Maluridae,False,AVIBASE-0BCEFC8F,rusgra1,https://birdsoftheworld.org/bow/species/rusgra1/,Opalton Grasswren,Amytornis rowleyi,,19.6,
Passeriformes,Fringillidae,False,AVIBASE-77B73033,orabul1,https://birdsoftheworld.org/bow/species/orabul1/,Orange Bullfinch,Pyrrhula aurantiaca,,19.3,
Passeriformes,Meliphagidae,False,AVIBASE-484BD738,oracha1,https://birdsoftheworld.org/bow/species/oracha1/,Orange Chat,Epthianura aurifrons,,10.5,
Passeriformes,Turdidae,False,AVIBASE-45C55FDE,orgthr1,https://birdsoftheworld.org/bow/species/orgthr1/,Orange Ground Thrush,Geokichla gurneyi,,57.9,
Passeriformes,Icteridae,False,AVIBASE-CC30267C,oraori1,https://birdsoftheworld.org/bow/species/oraori1/,Orange Oriole,Icterus auratus,,32.1,
Passeriformes,Zosteropidae,False,AVIBASE-6AA90803,capwhe6,https://birdsoftheworld.org/bow/species/capwhe6/,Orange River White-eye,Zosterops pallidus,,11.1,
Passeriformes,Ploceidae,False,AVIBASE-2C42345F,orawea1,https://birdsoftheworld.org/bow/species/orawea1/,Orange Weaver,Ploceus aurantius,,23.0,
Passeriformes,Icteridae,False,AVIBASE-4B32828D,orbtro3,https://birdsoftheworld.org/bow/species/orbtro3/,Orange-backed Troupial,Icterus croconotus,,44.5,
Passeriformes,Tyrannidae,False,AVIBASE-0A2158CA,orbfly1,https://birdsoftheworld.org/bow/species/orbfly1/,Orange-banded Flycatcher,Nephelomyias lintoni,,9.8,
Passeriformes,Thamnophilidae,False,AVIBASE-DC0B8364,orbant1,https://birdsoftheworld.org/bow/species/orbant1/,Orange-bellied Antwren,Terenura sicki,,6.4,
Passeriformes,Fringillidae,False,AVIBASE-2D1A6C0F,orbeup1,https://birdsoftheworld.org/bow/species/orbeup1/,Orange-bellied Euphonia,Euphonia xanthogaster,,13.0,
Passeriformes,Dicaeidae,False,AVIBASE-3E81AAE0,orbflo1,https://birdsoftheworld.org/bow/species/orbflo1/,Orange-bellied Flowerpecker,Dicaeum trigonostigma,,7.1,
Passeriformes,Chloropseidae,False,AVIBASE-1CC565B8,orblea1,https://birdsoftheworld.org/bow/species/orblea1/,Orange-bellied Leafbird,Chloropsis hardwickii,,32.3,
