order_name,family_name,avibase_id,ebird_species_code,common_name,scientific_name,birds_of_the_world_url,current_body_mass_g,body_mass_g,note
Passeriformes,Campephagidae,AVIBASE-3AD1D700,comcic11,South Moluccan Cicadabird,Edolisoma amboinense,https://birdsoftheworld.org/bow/species/comcic11/,,,
Passeriformes,Nectariniidae,AVIBASE-10F11D12,olbsun1,South Moluccan Sunbird,Cinnyris clementiae,https://birdsoftheworld.org/bow/species/olbsun1/,,,
Passeriformes,Troglodytidae,AVIBASE-A41F1360,houwre4,Southern House Wren,Troglodytes musculus,https://birdsoftheworld.org/bow/species/houwre4/,,,
Passeriformes,Corvidae,AVIBASE-2AF8ECCE,eurnut4,Southern Nutcracker,Nucifraga hemispila,https://birdsoftheworld.org/bow/species/eurnut4/,,,
Passeriformes,Parulidae,AVIBASE-65AD203E,masyel5,Southern Yellowthroat,Geothlypis velata,https://birdsoftheworld.org/bow/species/masyel5/,,,
Passeriformes,Melanocharitidae,AVIBASE-23BC4AD7,spober3,Spotted Berrypecker,Melanocharis piperata,https://birdsoftheworld.org/bow/species/spober3/,,,
Passeriformes,Acanthizidae,AVIBASE-56DB5D90,whbscr3,Spotted Scrubwren,Sericornis maculatus,https://birdsoftheworld.org/bow/species/whbscr3/,,,
Passeriformes,Muscicapidae,AVIBASE-C5C6D2B5,whrsha5,Sri Lanka Shama,Copsychus leggei,https://birdsoftheworld.org/bow/species/whrsha5/,,,
Passeriformes,Mimidae,AVIBASE-D8F3F82C,whbthr4,St. Lucia Thrasher,Ramphocinclus sanctaeluciae,https://birdsoftheworld.org/bow/species/whbthr4/,,,
Passeriformes,Troglodytidae,AVIBASE-4A8563C9,houwre8,St. Lucia Wren,Troglodytes mesoleucus,https://birdsoftheworld.org/bow/species/houwre8/,,,
Passeriformes,Troglodytidae,AVIBASE-6C7445E2,houwre10,St. Vincent Wren,Troglodytes musicus,https://birdsoftheworld.org/bow/species/houwre10/,,,
Passeriformes,Thraupidae,AVIBASE-FCB3C477,bubmot1,Streak-crowned Mountain Tanager,Dubusia stictocephala,,,,
Passeriformes,Thamnophilidae,AVIBASE-1CBE36EF,bkcant1,Streak-fronted Antshrike,Sakesphorus pulchellus,,,,
Passeriformes,Thraupidae,AVIBASE-4226846A,tildac3,Streaked Dacnis,Xenodacnis petersi,,,,
Passeriformes,Fringillidae,AVIBASE-FB84DF4D,reisee3,Stripe-breasted Seedeater,Crithagra striatipectus,https://birdsoftheworld.org/bow/species/reisee3/,,,
Passeriformes,Pycnonotidae,AVIBASE-CB468573,sulgob3,Sula Golden Bulbul,Hypsipetes longirostris,https://birdsoftheworld.org/bow/species/sulgob3/,,,
Passeriformes,Turdidae,AVIBASE-3523C781,,Sula Island Thrush,Turdus deningeri,https://birdsoftheworld.org/bow/species/molist1/,,,
Passeriformes,Corvidae,AVIBASE-8403B0D8,slbcro12,Sulawesi Crow,Corvus celebensis,https://birdsoftheworld.org/bow/species/slbcro12/,,,
Passeriformes,Turdidae,AVIBASE-78866E60,,Sulawesi Island Thrush,Turdus schlegelii,https://birdsoftheworld.org/bow/species/walist1/,,,
Passeriformes,Phylloscopidae,AVIBASE-74ED769B,sulwar1,Sulawesi Leaf Warbler,Phylloscopus nesophilus,https://birdsoftheworld.org/bow/species/sulwar1/,,,
Passeriformes,Campephagidae,AVIBASE-0F0AF7E8,babcuc24,Sulu Cuckooshrike,Coracina guillemardi,https://birdsoftheworld.org/bow/species/babcuc24/,,,
Passeriformes,Muscicapidae,AVIBASE-990FA273,chtjuf3,Sulu Jungle Flycatcher,Cyornis ocularis,https://birdsoftheworld.org/bow/species/chtjuf3/,,,
